DISTRICT,TOWN,DESTINATION,Category
AHMEDNAGAR,Shirdi (M Cl),Shirdi,Religious & Spiritual
AHMEDNAGAR,Shirdi (M Cl),Shanisignapur,Religious & Spiritual
AHMEDNAGAR,Srigonda,Siddhivinayak - Siddhatek (Astvinayak),Religious & Spiritual
AHMEDNAGAR,Ahmadnagar (M Cl),Ahmednagar fort,Forts
AHMEDNAGAR,Ahmadnagar (M Cl),Newasa,Religious & Spiritual
AHMEDNAGAR,Ahmadnagar (M Cl),"Kalasubai Harischandragad Wild Life
Sanctury",Forests & Wildlife
AHMEDNAGAR,Ahmadnagar (M Cl),Bhandardara (Dam),Lake & Water bodies
AHMEDNAGAR,Ahmadnagar (M Cl),Ravekudi,Religious & Spiritual
AKOLA,Akot (M Cl),Narnala wildlife sanctuary,Forests & Wildlife
AKOLA,Akot (M Cl), Narnala Fort,Forts
AKOLA,Balapur,Balapur Fort,Forts
AMRAVATI,"Chikhaldara (Hill
Station)","Melghat Tiger Project
",Forests & Wildlife
AMRAVATI,"Chikhaldara (Hill
Station)",Gugamal National park,Forests & Wildlife
AMRAVATI,Morshi (M Cl)-,Salbardi    (Chakradher Swami Mandir),Religious & Spiritual
AMRAVATI,Amravati (M Corp.),Ambadevi Temple,Religious & Spiritual
AMRAVATI,Amravati (M Corp.), Ekvira Temple,Religious & Spiritual
AURANGABAD,Aurangabad (CB),Ajanta,Caves
AURANGABAD,Aurangabad (CB),Daultabad Fort,Forts
AURANGABAD,Aurangabad (CB),Ellora,Caves
AURANGABAD,Aurangabad (CB),Bibi Ka Makbara,Heritage Site
AURANGABAD,Aurangabad (CB),Grishneshwer (Jyotirling),Religious & Spiritual
AURANGABAD,Aurangabad (CB),Shri Bhadra Maruti Temple,Religious & Spiritual
AURANGABAD,Paithan (M Cl),Paithan - Jayakwadi ( Paithani Sari ),Heritage Site
BEED,Bid (M Cl),Kapildhara (Ashram Of Kapilmuni),Religious & Spiritual
BEED,Bid (M Cl),Parali Vaishnath,Religious & Spiritual
BHANDARA,Tumsar (M Cl),Ambagar Fort,Forts
BHANDARA,Sakoli,Chinchgad,Lake & Water bodies
BHANDARA,Bhandara (M Cl),Dighod,Heritage Site
BHANDARA,Bhandara (M Cl),Brahmi,Heritage Site
BULDHANA,Shegaon (M Cl),Sheogaon (Samadhi of Gajanan Maharaj),Religious & Spiritual
BULDHANA,Lonar (M Cl),Datyasudan Temple,Religious & Spiritual
BULDHANA,Lonar (M Cl),Lonar Crater,Lake & Water bodies
CHANDRAPUR,Brahmapuri (M Cl),Nagbhir (Ghodajhari) Picnic Spot,Hill-Station
CHANDRAPUR,Chandrapur (M Cl),Tadoba national park,Forests & Wildlife
CHANDRAPUR,Chandrapur (M Cl),Tadoba lake,Lake & Water bodies
DHULE,"Shirpur-Warwade (M
Cl)",Anerdam Wildlife Sanctury,Forests & Wildlife
GADCHIROLI,Gadchiroli (M Cl),"Jinganur       (Bhamergargh Wildlife
Sanctury)",Forests & Wildlife
GONDIA,Gondia (M Cl),Nayagaon Wild Life  Sanctury,Forests & Wildlife
HINGOLI,Hingoli (M Cl),Aundha Nagnath ( Jyotirling),Religious & Spiritual
HINGOLI,Hingoli (M Cl),Narsi Namdev,Religious & Spiritual
HINGOLI,Basmath (M Cl),"Mallinath Digambar Jain ( audhanagnath)
35km",Religious & Spiritual
JALGAON,Chopda (M Cl),Unapdev hot Spring mouth,Lake & Water bodies
JALGAON,Chopda (M Cl),Adavad,Hill-Station
JALGAON,Muktainager,Bhusawal,Heritage Site
JALGAON,Muktainager,Changdev Maharaj,Religious & Spiritual
JALGAON,Amalner (M Cl),Amalner Tirath,Religious & Spiritual
JALGAON,Amalner (M Cl),"
Amalner Fort",Forts
JALGAON,Chalisgaon(M Cl),Patanadevi Temple,Religious & Spiritual
JALNA,Jalna (M Cl),Shree Ganesh of Rajur,Religious & Spiritual
JALNA,Jalna (M Cl),The Matsyodari Devi Temple,Religious & Spiritual
JALNA,Jalna (M Cl),Moti bagh,Lake & Water bodies
JALNA,Jalna (M Cl),Jamb Samartha,Religious & Spiritual
KOLHAPUR,Radhanagari,Radhanagri Dam,Lake & Water bodies
KOLHAPUR,Radhanagari,Radhanagri (Dazipur Wild Life Santuary),Forests & Wildlife
KOLHAPUR,Malkapur (M Cl),Vishalgad Fort,Forts
KOLHAPUR,Panhala (M Cl),Panhala fort,Forts
KOLHAPUR,Kolhapur (M Corp.),Rankala lake,Lake & Water bodies
KOLHAPUR,Kolhapur (M Corp.),Mahalaxmi Temple,Religious & Spiritual
KOLHAPUR,Kolhapur (M Corp.),Maharaja palace,Heritage Site
KOLHAPUR,Kolhapur (M Corp.),Shalini Palace,Heritage Site
KOLHAPUR,Kolhapur (M Corp.),Mandre Museum,Museum
LATUR,Latur (M Cl),City park,Heritage Site
MUMBAI,Mumbai,Gateway of India,Heritage Site
MUMBAI,Mumbai,Prince of wales museum,Museum
MUMBAI,Mumbai,Jahangir art gallery,Museum
MUMBAI,Mumbai,Marine Drive,Beaches
MUMBAI,Mumbai,Hanging Garden,Heritage Site
MUMBAI,Mumbai,Mahalaxmi temple,Religious & Spiritual
MUMBAI,Mumbai,Haji Ali,Religious & Spiritual
MUMBAI,Mumbai,Juhu Beach,Beaches
MUMBAI,Mumbai,Sidhivinayak,Religious & Spiritual
MUMBAI,Mumbai,Malabar hill,Hill-Station
MUMBAI,Mumbai,Elephanta caves,Caves
MUMBAI,Mumbai,Nehru Planetarium,Museum
MUMBAI,Mumbai,Sanjay Gandhi National park ,Forests & Wildlife
MUMBAI,Mumbai,Kanheri Caves ,Caves
NAGPUR,Mauda,Kanhan,Lake & Water bodies
NAGPUR,Totaladoh (CT),Pench National park,Forests & Wildlife
NAGPUR,Ramtek (M Cl),Ramtek  ( Shri Ram Temple ),Religious & Spiritual
NAGPUR,Nagpur (M Corp.),Ambazari Lake,Lake & Water bodies
NAGPUR,Nagpur (M Corp.),Balaji Temple,Religious & Spiritual
NAGPUR,Nagpur (M Corp.),Maharaj Baug-zoo,Forests & Wildlife
NANDURBAR,Taloda (M Cl),Toranmal,Hill-Station
NANDURBAR,Taloda (M Cl),Toranmal shiv temple,Religious & Spiritual
NANDURBAR,Taloda (M Cl),"
Hidimba's forest",Forests & Wildlife
NANDURBAR,Taloda (M Cl),Sardar Sarovar Project - kevadia dam,Lake & Water bodies
NANDURBAR,Taloda (M Cl),Fort of Akka Rani,Forts
NANDURBAR,Shahade (M Cl),Historical Well Of Tawalai,Heritage Site
NANDURBAR,Nandurbar (M Cl),Sideshwar Temple,Religious & Spiritual
NASIK,Nashik (M Corp.),Trimbakeshwar (Jyotirling),Religious & Spiritual
NASIK,Nashik (M Corp.),Pandav caves,Caves
NASIK,Nashik (M Corp.),"Sinhastha Kumbh
Mela(Punchvati-godavari Ghat)",Religious & Spiritual
NASIK,Igatpuri (M Cl),Igatpuri,Hill-Station
NANDED,Kinwat (M Cl),Sahastra kund,Lake & Water bodies
NANDED,Kinwat (M Cl),Painganga wildlife,Forests & Wildlife
NANDED,Kinwat (M Cl),Mahurgad,Forts
NANDED,"Nanded-Waghala (M
Corp.)",Nanded Fort Sachkant Gurudwara,Religious & Spiritual
OSMANABAD,Osmanabad (M Cl),Ramlingam ghat,Hill-Station
OSMANABAD,Osmanabad (M Cl),Dharashiv Caves Balaghat Mountains,Caves
OSMANABAD,Osmanabad (M Cl),Tulja Devi,Religious & Spiritual
PARBHANI,Parbhani (M Cl),Hajarat Turabul Huq,Religious & Spiritual
PARBHANI,Pathri (M Cl), Shirdi Saibaba Janmshtan Mandir,Religious & Spiritual
PARBHANI,Pathri (M Cl),Pathri,Religious & Spiritual
PUNE,Junnar (M Cl),Shivneri Fort,Forts
PUNE,Rajgurunagar (Khed),Bhimashanker ,Forests & Wildlife
PUNE,Alandi (M Cl),Aland  (Samadhi of Sant Dnyaneshwar),Religious & Spiritual
PUNE,Lonavala (M Cl),Lonavala,Hill-Station
PUNE,Lonavala (M Cl),Khandala,Hill-Station
PUNE,Lonavala (M Cl),Lohagad,Forts
PUNE,Lonavala (M Cl),Karla Caves,Caves
PUNE,Dehu (CT),Dehu (  Mahasamadhi Of Sant Tukaram ),Religious & Spiritual
PUNE,Pune (CB)/ m.corp),Kelkar Museum,Museum
PUNE,Pune (CB)/ m.corp),Sinhgad Fort,Forts
PUNE,Pune (CB)/ m.corp),Ranjangaon (Ashtvinayak),Religious & Spiritual
PUNE,Pune (CB)/ m.corp),"Shaniwar wada,",Heritage Site
PUNE,Pune (CB)/ m.corp),Khadakwasala,Lake & Water bodies
PUNE,"Pune (CB)/ m.corp)
12 km",Panchet Dam,Lake & Water bodies
PUNE,Pune (CB)/ m.corp),Agha Khan Place,Heritage Site
PUNE,Pune (CB)/ m.corp),Chattri ( Architecture/Memorial ),Heritage Site
PUNE,Pune (CB)/ m.corp),Katraj Garden,Forests & Wildlife
PUNE,Pune (CB)/ m.corp),Parvati (hill and Temple Oldest heritage),Heritage Site
PUNE,Pune (CB)/ m.corp),Pataleshwar Caves,Caves
PUNE,Pune (CB)/ m.corp),Moregaon (Ashtvinayak),Religious & Spiritual
PUNE,Pune (CB)/ m.corp),Rajgarh Fort,Forts
PUNE,"Pune (CB)/ m.corp)
50 km",Torna Fort,Forts
PUNE,Pune (CB)/ m.corp),Theur(ashtvinayak),Religious & Spiritual
PUNE,Pune (CB)/ m.corp),Khurundar Fort,Forts
PUNE,Jejuri (M Cl),Jejuri (khandoba or Khandobachi Temple),Religious & Spiritual
RAIGHAD,Matheran (M Cl),Matheran,Hill-Station
RAIGHAD,Alibag (M Cl),Alibag Fort,Forts
RAIGHAD,Alibag (M Cl),Alibag Beach,Beaches
RAIGHAD,Alibag (M Cl),Mandva beach,Beaches
RAIGHAD,Murud (M Cl),Murud-Janjira,Forts
RAIGHAD,Murud (M Cl),Phansad wildlife sanctury,Forests & Wildlife
RAIGHAD,Shrivardhan (M Cl),Harihareshwer,Religious & Spiritual
RAIGHAD,Mahad (M Cl),Mahad (Ashtavinayak),Lake & Water bodies
RATNAGIRI,Dapoli Camp (CT),Harnai Beach,Beaches
RATNAGIRI,Ratnagiri (M Cl),Ganpatipule,Beaches
RATNAGIRI,Ratnagiri (M Cl),Ganpatipule,Religious & Spiritual
RATNAGIRI,Rajapur (M Cl),Ganga / Hot Water Spring,Lake & Water bodies
SANGLI,Manadur (CT),Chandoli Wildlife Sanctuary,Forests & Wildlife
SANGLI,Vita (M Cl),Sagareshwar Wildlife Sanctuary,Forests & Wildlife
SATARA,Mahabaleshwar (M,Mahabale/prapgarh fort,Forts
SATARA,Panchgani (M Cl),Panchgani,Hill-Station
SATARA,Satara (M Cl),Shri Bhavani Museum,Museum
SATARA,Satara (M Cl),Thosegarh water fall,Lake & Water bodies
SATARA,Satara (M Cl),Kas lake,Lake & Water bodies
SATARA,Satara (M Cl),Ajinkyatra fort,Forts
SATARA,Satara (M Cl),Sajangarh,Forts
SATARA,Patan (CT),Koyna lake,Lake & Water bodies
SINDHUDURG,Malwan (M Cl),Malvan Fort,Forts
SINDHUDURG,Malwan (M Cl),Malvan beach,Beaches
SINDHUDURG,Malwan (M Cl),Tarkarli,Beaches
SINDHUDURG,Malwan (M Cl),Vijaydurg fort,Forts
SINDHUDURG,Sawantwadi (M Cl),Amboli Waterfalls,Lake & Water bodies
SOLAPUR,Solapur (M Corp.),Akalkote,Religious & Spiritual
SOLAPUR,Solapur (M Corp.),Kundalsanga,Religious & Spiritual
SOLAPUR,Pandharpur (M Cl),Pandharpur,Religious & Spiritual
SOLAPUR,Mangalvedhe (M Cl),Mangalwedha,Heritage Site
THANE,Palghar (M Cl),Kelve Beach,Beaches
THANE,Palghar (M Cl),Kelve Fort,Forts
THANE,Palghar (M Cl),Kelve Dam,Lake & Water bodies
THANE,Vasai (M Cl),Ganeshpuri(swaminityanand Maharaj),Religious & Spiritual
THANE,Vasai (M Cl),Purtgali Fort,Forts
THANE,Ambarnath(M Cl),"AMBARNATH Shiv Temple & Ganesh
Temple in Titwala",Religious & Spiritual
WARDHA,Wardha (M Cl),SEVAGRAM,Heritage Site
WASHIM,Washim (M Cl),Shirpur ( Parshwanath Digamber Jain Mandir),Religious & Spiritual
WASHIM,Washim (M Cl),Padmateerth,Religious & Spiritual
YAVATMAL,Yavatmal (M Cl),Kalamb Tipeshwar Sanctury,Forests & Wildlife
YAVATMAL,Ghatanji (M Cl),Ghatanji & Kaleshwar,Religious & Spiritual
